CRN,,,Cred,Gr,Class,Start,End,,Max,,Sts
Course-Sec,Course Title,Class Type,Hrs,Tp,Days,Time,Time,Instructor,Enrl,Enrl,Rmng
15337 BIOL-4760-01,MOLECULAR BIOCHEMISTRY I,LEC,4,,M R,10:30,12:35PM,Fraser,50.0,32.0,18.0
15789 BIOL-4961-01,TOPICS CANCER & AGING CELL BIO,LEC,4,,M R,1:30,3:35PM,Rutledge,12.0,12.0,0.0
15793 BIOL-4962-01,SPACE MICROBIOLOGY,LEC,4,,T F,1:30,3:35PM,Bonocora,8.0,5.0,3.0
15794 BIOL-4963-01,NEUROBIOLOGICAL DISEASES,LEC,4,,T F,1:30,3:35PM,Christian,6.0,7.0,-1.0
14909 BIOL-6990-01,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Barquera,10.0,0.0,10.0
14910 BIOL-6990-02,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Nierzwicki,10.0,0.0,10.0
15175 BIOL-6990-04,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Ligon,10.0,0.0,10.0
15176 BIOL-6990-05,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Bystroff,10.0,0.0,10.0
15177 BIOL-6990-07,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Bjornsson,10.0,0.0,10.0
14912 BIOL-6990-09,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Hanna,10.0,0.0,10.0
15178 BIOL-6990-10,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Gilbert,10.0,0.0,10.0
15179 BIOL-6990-11,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Linhardt,10.0,0.0,10.0
15180 BIOL-6990-12,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Rutledge,10.0,0.0,10.0
15181 BIOL-6990-13,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Swank,10.0,0.0,10.0
15182 BIOL-6990-14,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Wang,10.0,0.0,10.0
14913 BIOL-9990-02,DISSERTATION,LEC,1-20,,,** TBA **,,Nierzwicki,10.0,0.0,10.0
15098 BIOL-9990-04,DISSERTATION,LEC,1-20,,,** TBA **,,Ligon,10.0,0.0,10.0
15183 BIOL-9990-05,DISSERTATION,LEC,1-20,,,** TBA **,,Dordick,10.0,0.0,10.0
14915 BIOL-9990-06,DISSERTATION,LEC,1-20,,,** TBA **,,Bystroff,10.0,0.0,10.0
15029 BIOL-9990-10,DISSERTATION,LEC,1-20,,,** TBA **,,Gilbert,10.0,0.0,10.0
15184 BIOL-9990-11,DISSERTATION,LEC,1-20,,,** TBA **,,Linhardt,10.0,0.0,10.0
15185 BIOL-9990-12,DISSERTATION,LEC,1-20,,,** TBA **,,Makhatadze,10.0,0.0,10.0
15186 BIOL-9990-13,DISSERTATION,LEC,1-20,,,** TBA **,,Swank,0.0,0.0,0.0
15187 BIOL-9990-14,DISSERTATION,LEC,1-20,,,** TBA **,,Wang,10.0,0.0,10.0
15451 BMED-2100-01,BIOMATERIALS SCI & ENGINEERING,LEC,4,,T F,10:30,12:35PM,Hahn,29.0,18.0,11.0
15297 BMED-4010-01,BIOMEDICAL ENGINEERING LAB,LEC,4,,W,9:00,11:00AM,Agarwal,12.0,9.0,3.0
15297 BMED-4010-01,BIOMEDICAL ENGINEERING LAB,LAB,,,T,1:30,4:30PM,Agarwal,,,
15336 BMED-4010-02,BIOMEDICAL ENGINEERING LAB,LEC,4,,W,9:00,11:00AM,Mohamed,12.0,8.0,4.0
15336 BMED-4010-02,BIOMEDICAL ENGINEERING LAB,LAB,,,R,1:30,4:30PM,Mohamed,,,
15538 BMED-4010-03,BIOMEDICAL ENGINEERING LAB,LAB,4,,W,1:30,4:30PM,Agarwal,12.0,12.0,0.0
15538 BMED-4010-03,BIOMEDICAL ENGINEERING LAB,LEC,,,W,9:00,11:00AM,Agarwal,,,
15265 BMED-4200-01,MODELING OF BIOMEDICAL SYSTEMS,LEC,4,,T F,1:30,3:35PM,Kruger,28.0,28.0,0.0
15449 BMED-4200-02,MODELING OF BIOMEDICAL SYSTEMS,LEC,4,,M R,1:30,3:35PM,Kruger,39.0,37.0,2.0
15450 BMED-4580-01,BIOMEDICAL FLUID MECHANICS,LEC,3,,M R,10:30,12:35PM,Mohamed,29.0,2.0,27.0
15480 BMED-6580-01,BIOMEDICAL FLUID MECHANICS,LEC,3,,M R,10:30,12:35PM,Mohamed,29.0,2.0,27.0
14919 BMED-6990-01,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Ledet,25.0,0.0,25.0
14920 BMED-6990-02,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Brunski,25.0,0.0,25.0
14921 BMED-6990-03,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Vashishth,25.0,0.0,25.0
14922 BMED-9990-01,DISSERTATION,LEC,1-15,,,** TBA **,,Brunski,25.0,0.0,25.0
14923 BMED-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Vashishth,25.0,0.0,25.0
15194 CHEM-2930-01,OUT-OF-CLASSROOM EXPERIENCE,LEC,1-4,SU,,** TBA **,,Bailey,1.0,0.0,1.0
15440 CHEM-4010-01,INORGANIC CHEMISTRY II,LEC,3,,T F,1:30,3:35PM,Bonitatibu,10.0,10.0,0.0
15439 CHEM-4410-01,MACROSCOPIC PHYSICAL CHEMISTRY,LEC,3,,M R,8:30,10:05AM,Korenowski,40.0,11.0,29.0
15438 CHEM-4440-01,PHYSICAL CHEM FOR LIFE SCIENCE,LEC,4,,M R,8:30,10:05AM,Bello/Korenowski,40.0,20.0,20.0
15339 CHEM-4760-01,MOLECULAR BIOCHEMISTRY I,LEC,4,,M R,10:30,12:35PM,Fraser,50.0,19.0,31.0
15300 CHME-4010-01,TRANSPORT PHENOMENA I,LEC,4,,T F,8:00,10:05AM,Baysal,60.0,36.0,24.0
15430 CHME-4020-01,TRANSPORT PHENOMENA II,LEC,4,,T F,8:00,10:05AM,Plawsky/Woodcock,40.0,13.0,27.0
15301 CHME-4030-01,CHEM PROCESS DYNAMICS & CNTRL,LEC,4,,M R,6:00,8:05PM,Hedden/Titus,80.0,49.0,31.0
15799 CHME-4962-01,MOLECULAR MODEL & SIMULATIONS,LEC,2,,M,8:00,10:05AM,Baysal,30.0,11.0,19.0
15374 CHME-4966-01,CHEMICAL ENGINEERING PRO SIMUL,LEC,3,,T F,10:15,11:50AM,Baysal,40.0,18.0,22.0
15800 CHME-4968-01,FINITE ELEMENT SIMULATION CHME,LEC,2,,T,6:00,8:05PM,Plawsky/Woodcock,30.0,18.0,12.0
14876 CHME-6990-01,MASTERS THESIS,LEC,1-12,,,** TBA **,,Colon,25.0,0.0,25.0
14877 CHME-9990-01,DISSERTATION,LEC,1-15,,,** TBA **,,Colon,25.0,0.0,25.0
15047 CHME-9990-02,DISSERTATION,,1-15,,,** TBA **,,Belfort,25.0,0.0,25.0
15108 CHME-9990-05,DISSERTATION,LEC,1-15,,,** TBA **,,Plawsky,5.0,0.0,5.0
14889 CIVL-6990-01,MASTERS THESIS,LEC,1-12,,,** TBA **,,Symans,25.0,0.0,25.0
14896 CIVL-6990-02,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Letchford,25.0,0.0,25.0
15278 CIVL-6990-03,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Abdoun,10.0,0.0,10.0
14890 CIVL-9990-01,DISSERTATION,LEC,1-15,,,** TBA **,,Symans,25.0,0.0,25.0
15021 CIVL-9990-02,DISSERTATION,,1-15,,,** TBA **,,Abdoun,25.0,0.0,25.0
15329 COGS-4360-01,BEHAVIORAL NEUROSCIENCE,LEC,4,,M R,1:30,3:35PM,Walf,19.0,2.0,17.0
15476 COGS-4600-01,COGNITION AND THE BRAIN,LEC,4,,M R,10:30,12:35PM,Walf,19.0,9.0,10.0
15539 COGS-4962-01,AI IN FICTION AND FACT,LEC,4,,M R,1:30,3:35PM,Hendler/Seneviratn,15.0,8.0,7.0
15017 CSCI-1100-01,COMPUTER SCIENCE I,LEC,4,,M R,10:30,12:10PM,Mushtaque/Hulbert,36.0,36.0,0.0
15017 CSCI-1100-01,COMPUTER SCIENCE I,LAB,,,W,10:30,12:35PM,Staff,,,
