CRN,,,Cred,Gr,Class,Start,End,,Max,,Sts
Course-Sec,Course Title,Class Type,Hrs,Tp,Days,Time,Time,Instructor,Enrl,Enrl,Rmng
15782 ERTH-4180-01,ENVIRONMENTAL GEOLOGY,LEC,4,,T F,1:30,3:35PM,Cadieux,24.0,24.0,0.0
15254 ERTH-6980-01,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Rogers,5.0,0.0,5.0
15286 ERTH-6980-02,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Schaller,10.0,0.0,10.0
15054 ERTH-6990-01,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Staff,25.0,0.0,25.0
14864 ERTH-6990-02,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Watson,25.0,0.0,25.0
14989 ERTH-6990-05,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Roecker,25.0,0.0,25.0
14865 ERTH-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Watson,25.0,0.0,25.0
15667 GSAS-1040-01,ART FOR INTERACTIVE MEDIA,STU,4,,M R,1:30,3:35PM,Nideffer,5.0,2.0,3.0
15750 GSAS-1040-02,ART FOR INTERACTIVE MEDIA,,4,,M R,1:30,3:35PM,Nideffer,15.0,9.0,6.0
15696 GSAS-2540-01,INTRO TO GAME PROGRAMMING,LEC,4,,M R,1:30,3:35PM,Ameres,19.0,19.0,0.0
15719 GSAS-2962-01,ANALOG ROLE-PLAYING GAMES,LEC,4,,M R,1:30,3:35PM,Mizer,10.0,9.0,1.0
15720 GSAS-2962-02,ANALOG ROLE-PLAYING GAMES,LEC,4,,M R,1:30,3:35PM,Mizer,9.0,9.0,0.0
15724 GSAS-2965-01,INTRODUCTION TO WORLDBUILDING,LEC,4,,M R,10:30,12:35PM,Mizer,10.0,10.0,0.0
15725 GSAS-2965-02,INTRODUCTION TO WORLDBUILDING,LEC,4,,M R,10:30,12:35PM,Mizer,9.0,10.0,-1.0
15809 GSAS-4960-01,INTERMEDIATE GAME DESIGN,LEC,4,,,** TBA **,,Payen,25.0,13.0,12.0
15192 ISCI-9990-07,DISSERTATION,LEC,1-15,,,** TBA **,,Fox,10.0,1.0,9.0
15304 ISYE-4140-01,STATISTICAL ANALYSIS,LEC,4,,,** TBA **,,Aboul-Seou,50.0,31.0,19.0
15366 ISYE-4240-01,ENGR PROJ MANAGEMENT,LEC,3,,,** TBA **,,Foley,50.0,27.0,23.0
15305 ISYE-4600-01,OPERATIONS RESEARCH METHOD,LEC,4,,,** TBA **,,Foley,50.0,30.0,20.0
15367 ISYE-6980-01,MASTERS PROJECT,LEC,1-9,SU,,** TBA **,,Grabowski,10.0,0.0,10.0
15193 ISYE-6990-01,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Wallace,1.0,0.0,1.0
15351 ISYE-6990-02,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Mendonca,10.0,0.0,10.0
15352 ISYE-6990-03,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Embrechts,10.0,0.0,10.0
15354 ISYE-6990-04,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Foley,10.0,0.0,10.0
15356 ISYE-6990-05,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Hsu,10.0,0.0,10.0
15358 ISYE-6990-06,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Pazour,10.0,0.0,10.0
15360 ISYE-6990-07,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Sharkey,10.0,0.0,10.0
15362 ISYE-6990-09,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Aboul-Seou,10.0,0.0,10.0
15364 ISYE-6990-11,MASTER'S THESIS,LEC,1-9,,,** TBA **,,Goncalves,10.0,0.0,10.0
15313 ISYE-9990-01,DISSERTATION,LEC,1-15,,,** TBA **,,Mendonca,2.0,0.0,2.0
15350 ISYE-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Wallace,10.0,0.0,10.0
15353 ISYE-9990-03,DISSERTATION,LEC,1-15,,,** TBA **,,Embrechts,10.0,0.0,10.0
15355 ISYE-9990-04,DISSERTATION,LEC,1-15,,,** TBA **,,Foley,10.0,0.0,10.0
15357 ISYE-9990-05,DISSERTATION,LEC,1-15,,,** TBA **,,Hsu,10.0,0.0,10.0
15359 ISYE-9990-06,DISSERTATION,LEC,1-15,,,** TBA **,,Pazour,10.0,0.0,10.0
15361 ISYE-9990-07,DISSERTATION,LEC,1-15,,,** TBA **,,Sharkey,10.0,0.0,10.0
15363 ISYE-9990-09,DISSERTATION,LEC,1-15,,,** TBA **,,Aboul-Seou,10.0,0.0,10.0
15545 ISYE-9990-10,DISSERTATION,LEC,1-15,,,** TBA **,,Schell,10.0,0.0,10.0
15365 ISYE-9990-11,DISSERTATION,LEC,1-15,,,** TBA **,,Goncalves,10.0,0.0,10.0
15368 ISYE-9990-12,DISSERTATION,LEC,1-15,,,** TBA **,,Grabowski,10.0,0.0,10.0
15802 ISYE-9990-13,DISSERTATION,LEC,1-15,,,** TBA **,,Bennett,10.0,1.0,9.0
15256 LGHT-6980-01,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Leslie,10.0,0.0,10.0
15263 LGHT-6980-02,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Brons,10.0,0.0,10.0
15482 LITR-4150-01,SCIENCE AND FICTION,LEC,4,,T F,1:30,3:35PM,Deery,19.0,23.0,-4.0
15665 MANE-2220-01,INVENTOR'S STUDIO 1,STU,4,,M R,8:00,10:05AM,Ghosh/Schierenbe,26.0,20.0,6.0
15666 MANE-2220-02,INVENTOR'S STUDIO 1,STU,4,,M R,10:30,12:35PM,Ghosh/Schierenbe,26.0,20.0,6.0
15408 MANE-2720-01,FLUID MECHANICS,LEC,3,,M R,8:00,10:05AM,Woodcock,80.0,75.0,5.0
15664 MANE-2720-02,FLUID MECHANICS,LEC,3,,M R,10:30,12:35PM,Borca-Tasc,80.0,43.0,37.0
15309 MANE-4030-01,ELEMENTS OF MECH DESIGN,LEC,4,,T F,8:00,10:05AM,Shahsavari/Maniatty,80.0,74.0,6.0
15441 MANE-4030-02,ELEMENTS OF MECH DESIGN,LEC,4,,T F,10:30,12:35PM,Shahsavari/Maniatty,80.0,54.0,26.0
14982 MANE-4050-01,MODELING AND CONTRL OF DYN SYS,LEC,4,,T F,1:30,3:35PM,Niemiec,7.0,9.0,-2.0
14982 MANE-4050-01,MODELING AND CONTRL OF DYN SYS,LAB,,,,** TBA **,,Staff,,,
15296 MANE-4060-01,AEROSPACE STRUC & MATERIALS,LEC,4,,M R,8:00,10:05AM,Shahsavari,50.0,28.0,22.0
15698 MANE-4060-02,AEROSPACE STRUC & MATERIALS,LEC,4,,M R,10:30,12:35PM,Kopsaftopo,55.0,51.0,4.0
15295 MANE-4070-01,AERODYNAMICS I,LEC,4,,T F,8:00,10:05AM,Haley,50.0,40.0,10.0
15701 MANE-4070-02,AERODYNAMICS I,LEC,4,,T F,10:30,12:35PM,Haley,50.0,33.0,17.0
15409 MANE-4240-01,INTRO TO FINITE ELEMENTS,LEC,3,,M R,10:30,12:35PM,Panneersel,50.0,23.0,27.0
15699 MANE-4240-02,INTRO TO FINITE ELEMENTS,LEC,3,,M R,1:30,3:35PM,Panneersel,50.0,22.0,28.0
15521 MANE-4500-01,MODELING AND CONTRL OF DYN SYS,LEC,3,,T F,10:30,12:35PM,Niemiec,60.0,31.0,29.0
15700 MANE-4500-02,MODELING AND CONTRL OF DYN SYS,LEC,3,,T F,1:30,3:35PM,Niemiec,65.0,64.0,1.0
15522 MANE-4730-01,HEAT TRANSFER,LEC,3,,T F,10:30,12:35PM,Borca Tasc,40.0,27.0,13.0
15281 MANE-4964-01,MANE SAFETY PROGRAM,LEC,0,NG,,** TBA **,,McDougall/De,50.0,1.0,49.0
15530 MANE-6980-01,MASTER'S PROJECT,,1-9,SU,,** TBA **,,Shi,5.0,0.0,5.0
15073 MANE-6980-02,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Zhang,5.0,0.0,5.0
15814 MANE-6980-03,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Kopsaftopo,10.0,1.0,9.0
14930 MANE-6990-01,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Mishra,10.0,0.0,10.0
15068 MANE-6990-04,MASTER'S THESIS,LEC,1-12,,,** TBA **,,Zhang,3.0,1.0,2.0
15433 MATH-4090-01,FOUNDATIONS OF ANALYSIS,LEC,4,,T F,10:30,12:35PM,Kiehl/Stevenson,50.0,50.0,0.0
15685 MATH-4100-01,LINEAR ALGEBRA,LEC,4,,M R,10:30,12:35PM,Kovacic,140.0,154.0,-14.0
15687 MATH-4300-01,INTRO TO COMPLEX VARIABLES,LEC,4,,M R,1:30,3:35PM,Holmes/Stevenson,60.0,64.0,-4.0
15683 MATH-4600-01,ADVANCED CALCULUS,LEC,4,,M R,8:00,10:05AM,Boudjelkha,40.0,42.0,-2.0
15684 MATH-4800-01,NUMERICAL COMPUTING,LEC,4,,T F,8:00,10:05AM,Zerbetto T,40.0,46.0,-6.0
14897 MATH-6970-01,MASTER'S PRACTICUM IN MATH,LEC,0,,,** TBA **,,Schwendema,25.0,0.0,25.0
15276 MATH-6980-03,MASTER'S PROJECT,LEC,1-6,SU,,** TBA **,,Piper,10.0,0.0,10.0
15644 MGMT-2320-01,MANAGERIAL FINANCE,LEC,4,,M R,1:00,3:05PM,Mistry,55.0,44.0,11.0
15648 MGMT-4140-01,COMPUTER INFO SYSTEMS,LEC,4,,T F,1:00,3:05PM,Demertzogl,55.0,56.0,-1.0
15646 MGMT-4850-01,ORG BEHAVIOR IN HIGH PERF ORG,LEC,4,,M R,10:30,12:35PM,Zhao,55.0,47.0,8.0
15548 MGMT-4900-01,PRACTICUM IN MANAGEMENT,LEC,3,,W,6:00,9:20PM,Ballinger,15.0,7.0,8.0
15404 MGMT-6840-01,PRACTICUM IN MANAGEMENT,,3,,W,6:00,9:20PM,Ballinger,15.0,8.0,7.0
15160 MGMT-9990-01,DISSERTATION & RESEARCH,LEC,5,,,** TBA **,,Kuruzovich,1.0,0.0,1.0
15162 MGMT-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Francis,10.0,0.0,10.0
15547 MGMT-9990-04,DISSERTATION,LEC,1-15,,,** TBA **,,Nevo,10.0,0.0,10.0
15248 MGMT-9990-10,DISSERTATION,LEC,1-15,,,** TBA **,,Kumar,10.0,0.0,10.0
15311 MTLE-4100-01,THERMODYNAMICS OF MATERIALS,LEC,4,,M R,10:30,12:35PM,Ozisik,50.0,13.0,37.0
15797 MTLE-4720-01,APP. MATH. METH. IN MATERIALS,LEC,3,,M R,1:30,3:35PM,Lewis,50.0,12.0,38.0
14887 MTLE-6980-02,MASTER'S PROJECT,LEC,1-12,,,** TBA **,,Ozisik,100.0,0.0,100.0
14949 MTLE-6980-03,MASTER'S PROJECT,LEC,1-12,SU,,** TBA **,,Duquette,25.0,0.0,25.0
15146 MTLE-6980-04,MASTER'S PROJECT,LEC,1-12,SU,,** TBA **,,Hull,5.0,0.0,5.0
14950 MTLE-6990-03,MASTER'S THESIS,LEC,1-15,,,** TBA **,,Duquette,25.0,0.0,25.0
15144 MTLE-6990-05,MASTER'S THESIS,LEC,1-15,,,** TBA **,,Hull,5.0,0.0,5.0
15088 MTLE-6990-09,MASTER'S THESIS,LEC,1-15,,,** TBA **,,Siegel,5.0,0.0,5.0
14933 MTLE-6990-14,MASTER'S THESIS,LEC,1-15,,,** TBA **,,Gall,25.0,0.0,25.0
14886 MTLE-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Ozisik,100.0,0.0,100.0
14944 MTLE-9990-03,DISSERTATION,LEC,1-15,,,** TBA **,,Duquette,25.0,0.0,25.0
15053 MTLE-9990-04,DISSERTATION,LEC,1-15,,,** TBA **,,Gall,5.0,0.0,5.0
15087 MTLE-9990-09,DISSERTATION,LEC,1-15,,,** TBA **,,Siegel,5.0,0.0,5.0
15713 PHYS-2220-01,QUANTUM PHYSICS II,LEC,4.0,,T F,3:45,5:50PM,Persans,30.0,16.0,14.0
15790 PHYS-4210-01,ELECTROMAGNETIC THEORY,LEC,4.0,,W,1:00,2:50PM,Georg,100.0,17.0,83.0
15790 PHYS-4210-01,ELECTROMAGNETIC THEORY,LEC,,,F,4:00,5:50PM,Georg,,,
15791 PHYS-4420-01,THERMODYN & STAT MECH,LEC,4.0,,M W,4:00,5:50PM,Meunier,100.0,42.0,58.0
15282 PHYS-4960-01,ASTROPHYSICS,LEC,4.0,,M R,11:45,1:50PM,Ciolek,30.0,4.0,26.0
15810 PHYS-4961-01,ADV PHYSICS TEACHING PRACTICUM,LEC,2.0,,,** TBA **,,Persans,30.0,1.0,29.0
15136 PSYC-2730-01,SOCIAL PSYCHOLOGY,LEC,4,,,** TBA **,,VerWys,50.0,51.0,-1.0
15328 PSYC-4320-01,BEHAVIORAL NEUROSCIENCE,LEC,4,,M R,1:30,3:35PM,Walf,29.0,20.0,9.0
15137 PSYC-4400-01,PERSONALITY,LEC,4,,,** TBA **,,VerWys,50.0,50.0,0.0
15477 PSYC-4600-01,COGNITION & THE BRAIN,LEC,4,,M R,10:30,12:35PM,Walf,29.0,16.0,13.0
15708 STSH-2500-01,AMERICAN HISTORY,LEC,4,,T F,8:00,10:05AM,Tozzi,75.0,52.0,23.0
15697 STSH-2960-01,AFRICAN AMERICAN HISTORY,LEC,4,,T F,10:30,12:35PM,Sohasky,40.0,18.0,22.0
15753 STSH-4400-01,"MEDICINE, CULTURE & SOCIETY",,4,,M R,1:30,3:35PM,Cook,15.0,8.0,7.0
15755 STSH-4520-01,SOCIAL DEMO: SOCIETY BY NUMBER,,4,,T F,1:30,3:35PM,Cook,15.0,10.0,5.0
15735 STSH-4600-01,DESIGN & INNOVATION STUDIO A,STU,4,,M R,1:00,4:05PM,Costelloe-,25.0,15.0,10.0
15458 STSH-4961-01,GRASSROOTS SCIENCE,STU,4,,,** TBA **,,Schaffer,19.0,11.0,8.0
15716 STSH-4963-01,GENDER & RACE IN CULTURE,LEC,1,,W,7:00,9:50PM,Costelloe-,30.0,7.0,23.0
15717 STSH-4964-01,GENDER & SUSTAINABILITY,LEC,4,,T F,2:00,4:05PM,Costelloe-,19.0,5.0,14.0
15510 STSS-2520-01,SOCIOLOGY,LEC,4,,M R,8:00,10:05AM,Stanford,50.0,47.0,3.0
15551 STSS-2520-02,SOCIOLOGY,,4,,M R,5:00,7:05PM,Schaffer,29.0,29.0,0.0
15752 STSS-4400-01,"MEDICINE, CULTURE & SOCIETY",,4,,M R,1:30,3:35PM,Cook,15.0,11.0,4.0
15754 STSS-4520-01,SOCIAL DEMO: SOCIETY BY NUMBER,,4,,T F,1:30,3:35PM,Cook,15.0,11.0,4.0
15734 STSS-4600-01,DESIGN & INNOVATION STUDIO A,STU,4,,M R,1:00,4:05PM,Costelloe-,25.0,10.0,15.0
15457 STSS-4961-01,GRASSROOTS SCIENCE,STU,4,,,** TBA **,,Schaffer,19.0,8.0,11.0
15512 STSS-4962-01,GENDER & SUSTAINABILITY,LEC,4,,T F,2:00,4:05PM,Costelloe-,19.0,9.0,10.0
15715 STSS-4963-01,GENDER & RACE IN CULTURE,LEC,1,,W,7:00,9:50PM,Costelloe-,30.0,11.0,19.0
15718 STSS-4964-01,TECHNOLOGY & SOCIETY,LEC,4,,M R,10:30,12:35PM,Stanford,19.0,14.0,5.0
